Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
China,MtCO2e,2833.49,2980.93,3117.42,3344.47,3498.95,3884.03,3900.32,3931.79,4038.55,3972.81,4159.8,4383.49,4711.7,5386.45,6183.03,6927.72,7537.67,8176.56,8359.26,8919.7,9712.78,10701.13,10938.67,11420.44,11600.63
United States,MtCO2e,5550.04,5514.88,5598.11,5725.24,5805.98,5863.02,6013.18,6160.3,6178.27,6222.57,6394.64,6308.91,6236.44,6326.07,6448.38,6429.55,6330.06,6531.52,6253.79,5893.98,6115.68,6305.16,6132.14,6213.27,6319.02
India,MtCO2e,1142.43,1197.94,1230.04,1263.72,1311.29,1375.25,1429.29,1485.84,1516.44,1594.49,1633.09,1545.64,1576.17,1621.51,1718.79,1805.11,1942.63,2083.95,2183.33,2363.59,2469,2821.64,2956.22,3031.34,3202.31
Indonesia,MtCO2e,1336.74,1352.78,1371.11,1386.03,1401.19,1435.23,1308.49,2259.06,1498.99,1393.4,1315.44,1583.66,1935.23,1691.76,1875.85,1748.6,2399.72,1974.67,1968.89,2285.21,1994.78,2135.19,2156.54,2160.98,2471.64
Russia,MtCO2e,3227.3,3167.24,2953.75,2732.52,2478.94,2388.86,2367.76,2182.39,2238.98,2217.35,2261.95,2106.08,2140.49,2284.3,2119.62,2146.98,2045.27,2035.24,2274.33,1990.67,2056.75,2143.4,2185.23,2076.02,2030.14
Brazil,MtCO2e,1447.65,1465.84,1476.23,1485.83,1502.24,1527.67,1534.88,1564.61,1595.55,1601.85,1603.08,1837.95,1862.77,1876.7,1915.83,1939.66,1352.8,1404.58,1394.02,1377.6,1483.81,1252.95,1306.77,1317.22,1357.18
Japan,MtCO2e,1096.72,1104.3,1116.89,1111.07,1164.6,1177.74,1192.25,1185,1150.51,1190.54,1206.58,1227.09,1261.27,1265.2,1259.63,1264.3,1145.18,1187.75,1098.66,1033.41,1083.31,1288.61,1335.73,1361.1,1322.05
Canada,MtCO2e,641.34,637.04,651.82,652.4,672.3,688.04,684.06,682.23,788.96,730.85,720.32,896.77,984.07,998.75,960.21,975.74,880,898.24,893.26,812.84,906.01,781.29,808.67,889.9,867
Germany,MtCO2e,1103.55,1074.32,1027.29,1017.27,1003.92,997.84,1019.98,983.07,967.71,930.52,918.52,966.05,948.97,949.62,930.32,909.69,924.49,892,898.55,840.93,878.3,826.89,838.71,856.69,816.64
Iran,MtCO2e,250.42,291.19,310.65,310.5,343.1,356.94,368.98,384.25,390.09,425.73,442.57,452.31,472.74,497.73,531.91,565.91,608.8,641.92,650.93,670.61,670.47,751.64,761.45,782.25,800.68
Others,MtCO2e,15193.79,15222.03,15074.64,15022.17,15049.04,15227.47,15556.86,15808.16,15935.04,15932.58,16199.5,16277.72,16641.76,16907.31,17448.73,17791.32,17638.5,17996.46,18231.54,17902.9,18390.07,18018.07,18163.48,18148.08,18105.08
