ISO,Country,Year,Value,Range,Label
AFG,Afghanistan,2020,35.5,No,BAU
AFG,Afghanistan,2025,40.3,No,Conditional
AFG,Afghanistan,2025,41.7,No,BAU
AFG,Afghanistan,2030,42.7,No,Conditional
AFG,Afghanistan,2030,48.9,No,BAU
ALB,Albania,2030,5.45,No,Unconditional 
ALB,Albania,2030,6.16,No,BAU
DZA,Algeria,2030,,No,BAU not available
AND,Andorra,2030,0.3299,No,Unconditional 
AND,Andorra,2030,0.5236,No,BAU
AGO,Angola,2020,125.78,No,BAU
AGO,Angola,2025,124.66,No,Unconditional 
AGO,Angola,2025,113.75,No,Conditional
AGO,Angola,2025,155.82,No,BAU
AGO,Angola,2030,125.61,No,Unconditional 
AGO,Angola,2030,96.63,No,Conditional
AGO,Angola,2030,193.25,No,BAU
ATG,Antigua and Barbuda,2020,0.291,No,Unconditional 
ATG,Antigua and Barbuda,2030,,No,Sectoral goals
ARG,Argentina,2030,483,No,Unconditional 
ARG,Argentina,2030,369,No,Conditional
ARM,Armenia,2050,6.93,No,Unconditional 
AUS,Australia,2020,523.7,No,Unconditional 
AUS,Australia,2020,468.6,No,Conditional
AUS,Australia,2020,413.4,No,Conditional
AUS,Australia,2030,442.1,Yes,Unconditional 
AUS,Australia,2030,430.1,Yes,Unconditional 
AUT,Austria,2020,63.04,No,Unconditional 
AZE,Azerbaijan,2030,45.27,No,Unconditional 
BHS,Bahamas,2030,,No,BAU not available
BHR,Bahrain,2030,,No,No GHG target
BGD,Bangladesh,2030,327.43,No,Unconditional excluding LUCF
BGD,Bangladesh,2030,304.03,No,Conditional
BGD,Bangladesh,2030,339.13,No,BAU
BRB,Barbados,2025,1.44,No,Conditional
BRB,Barbados,2030,1.4,No,Conditional
BLR,Belarus,2020,132.19,Yes,Conditional
BLR,Belarus,2020,125.24,Yes,Conditional
BLR,Belarus,2030,100.19,No,Unconditional 
BEL,Belgium,2020,117.04,No,Unconditional 
BLZ,Belize,2030,,No,No GHG target
BEN,Benin,2030,,No,No sufficient data for quantification
BTN,Bhutan,2030,0,No,Conditional
BOL,Bolivia,2030,,No,No GHG target
BIH,Bosnia & Herzegovina,2030,31.41,No,Unconditional 
BIH,Bosnia & Herzegovina,2030,25.82,No,Conditional
BIH,Bosnia & Herzegovina,2030,32,No,BAU
BWA,Botswana,2030,7.06,No,Conditional (partial)
BRA,Brazil,2020,2068,Yes,Unconditional 
BRA,Brazil,2020,1977,Yes,Unconditional 
BRA,Brazil,2025,1323,No,Unconditional 
BRA,Brazil,2030,1197,No,Unconditional 
BRN,Brunei,2030,,No,No GHG target
BGR,Bulgaria,2020,82.92,No,Unconditional 
BFA,Burkina Faso,2020,86.93,No,Unconditional 
BFA,Burkina Faso,2020,75.98,No,Conditional
BFA,Burkina Faso,2020,92.06,No,BAU
BFA,Burkina Faso,2025,98.71,No,Unconditional 
BFA,Burkina Faso,2025,86.88,No,Conditional
BFA,Burkina Faso,2025,105.32,No,BAU
BFA,Burkina Faso,2030,110.52,No,Unconditional 
BFA,Burkina Faso,2030,96.75,No,Conditional
BFA,Burkina Faso,2030,74.62,No,Adaptation
BFA,Burkina Faso,2030,118.32,No,BAU
BDI,Burundi,2020,44.07,No,Unconditional 
BDI,Burundi,2020,39.62,No,Conditional
BDI,Burundi,2020,44.52,No,BAU
BDI,Burundi,2025,57.05,No,Unconditional 
BDI,Burundi,2025,48.32,No,Conditional
BDI,Burundi,2025,58.22,No,BAU
BDI,Burundi,2030,72.25,No,Unconditional 
BDI,Burundi,2030,59.59,No,Conditional
BDI,Burundi,2030,74.49,No,BAU
KHM,Cambodia,2030,8.47,No,Conditional
KHM,Cambodia,2030,11.6,No,BAU
CMR,Cameroon,2035,70.72,No,Conditional
CMR,Cameroon,2035,104,No,BAU
CAN,Canada,2020,620,No,Unconditional 
CAN,Canada,2030,523,No,Unconditional 
CPV,CapeVerde,2030,,No,No GHG target
CAF,Central African Republic,2030,105.9,No,Unconditional 
CAF,Central African Republic,2030,104.47,No,Conditional
CAF,Central African Republic,2030,109.97,No,BAU
CAF,Central African Republic,2050,178.86,No,Unconditional 
CAF,Central African Republic,2050,141.95,No,Conditional
CAF,Central African Republic,2050,189.27,No,BAU
TCD,Chad,2030,23.44,No,Unconditional 
TCD,Chad,2030,8.31,No,Conditional
TCD,Chad,2030,28.66,No,BAU
CHL,Chile,2030,,No,No sufficient data for quantification
CHN,China PR,2020,11371.75,Yes,Conditional
CHN,China PR,2020,9541.31,Yes,Conditional
CHN,China PR,2030,12959.54,Yes,Unconditional 
CHN,China PR,2030,9275.96,Yes,Unconditional 
COL,Colombia,2030,268,No,Unconditional 
COL,Colombia,2030,234.5,No,Conditional
COL,Colombia,2030,335,No,BAU
COM,Comoros,2020,0.19,No,Conditional
COM,Comoros,2020,0.36,No,BAU
COM,Comoros,2025,0.13,No,Conditional
COM,Comoros,2025,0.43,No,BAU
COM,Comoros,2030,0.08,No,Conditional
COM,Comoros,2030,0.52,No,BAU
COG,Congo,2025,8.79,No,Conditional
COG,Congo,2025,16.98,No,BAU
COG,Congo,2035,15.86,No,Conditional
COG,Congo,2035,35,No,BAU
COD,CongoDR,2030,356.9,No,Conditional
COD,CongoDR,2030,430,No,BAU
COK,Cook Islands,2030,,No,No economy-wide GHG target
CRI,Costa Rica,2030,9.37,No,Unconditional 
CIV,Cote d'Ivoire,2030,24.58,No,Conditional
CIV,Cote d'Ivoire,2030,34.25,No,BAU
HRV,Croatia,2020,24.92,No,Unconditional 
CUB,Cuba,2030,,No,No GHG target
CYP,Cyprus,2020,4.5,No,Unconditional 
CZE,Czech Republic,2020,156.66,No,Unconditional 
DNK,Denmark,2020,56.39,No,Unconditional 
DJI,Djibouti,2020,2.33,No,Unconditional 
DJI,Djibouti,2020,1.88,No,Conditional
DJI,Djibouti,2020,2.91,No,BAU
DJI,Djibouti,2030,2.69,No,Unconditional 
DJI,Djibouti,2030,1.79,No,Conditional
DJI,Djibouti,2030,4.48,No,BAU
DMA,Dominica,2020,0.14,No,Conditional 
DMA,Dominica,2025,0.1,No,Conditional
DMA,Dominica,2030,0.09,No,Conditional
DOM,Dominican Republic,2030,16.59,No,Conditional
ECU,Ecuador,2030,,No,No economy-wide GHG target; BAU not available for calculate.
EGY,Egypt,2030,,No,No GHG target
SLV,El Salvador,2025,,No,No GHG target
GNQ,Equatorial Guinea,2030,3.76,No,Conditional
GNQ,Equatorial Guinea,2050,2.35,No,Conditional
ERI,Eritrea,2020,4.61,No,Unconditional 
ERI,Eritrea,2020,4.38,No,Conditional
ERI,Eritrea,2020,5,No,BAU
ERI,Eritrea,2025,4.84,No,Unconditional 
ERI,Eritrea,2025,4.16,No,Conditional
ERI,Eritrea,2025,5.5,No,BAU
ERI,Eritrea,2030,5.12,No,Unconditional 
ERI,Eritrea,2030,3.88,No,Conditional
ERI,Eritrea,2030,6,No,BAU
EST,Estonia,2020,32.32,No,Unconditional 
ETH,Ethiopia,2030,145,No,Conditional
EU28,EU-28,2020,4514.2,Yes,Unconditional 
EU28,EU-28,2020,3949.9,Yes,Conditional
EU28,EU-28,2030,3246.6,No,Unconditional 
EU28,EU-28,2050,1082.2,Yes,Unconditional 
EU28,EU-28,2050,270.5,Yes,Unconditional 
FJI,Fiji,2030,2.25,No,Unconditional (Energy CO2)
FJI,Fiji,2030,1.75,No,Conditional (Energy CO2)
FJI,Fiji,2030,2.5,No,BAU (Energy CO2)
FIN,Finland,2020,56.9,No,Unconditional 
FRA,France,2020,440.05,No,Unconditional 
GAB,Gabon,2025,,No,No sufficient data for quantification
GMB,Gambia,2025,1.81,No,Conditional
GMB,Gambia,2025,3.25,No,BAU
GMB,Gambia,2030,2.18,No,Conditional 
GMB,Gambia,2030,4,No,BAU
GEO,Georgia,2030,32.66,No,Unconditional 
GEO,Georgia,2030,28.82,No,Conditional
GEO,Georgia,2030,38.42,No,BAU
DEU,Germany,2020,1000.73,No,Unconditional 
GHA,Ghana,2020,37.81,No,BAU
GHA,Ghana,2025,47.08,No,Unconditional 
GHA,Ghana,2025,39.06,No,Conditional
GHA,Ghana,2025,53.5,No,BAU
GHA,Ghana,2030,62.9,No,Unconditional 
GHA,Ghana,2030,40.7,No,Conditional
GHA,Ghana,2030,73.95,No,BAU
GRC,Greece,2020,82.46,No,Unconditional 
GRD,Grenada,2025,0.179,No,Conditional
GRD,Grenada,2030,0.154,No,Conditional
GTM,Guatemala,2030,47.82,No,Unconditional 
GTM,Guatemala,2030,41.68,No,Conditional
